契約月份,最後結算日,臺指選擇權(TXO)
202604F2,2026/04/10,35350
202604W2,2026/04/08,34733
202604F1,2026/04/07,33117
202604W1,2026/04/01,33125
202603F4,2026/03/27,33110
202603W4,2026/03/25,33511
202603F3,2026/03/20,33538
202603,2026/03/18,34264
202603F2,2026/03/13,33421
202603W2,2026/03/11,34151
202603F1,2026/03/06,33573
202603W1,2026/03/04,32932
202602F4,2026/03/02,35194
202602W4,2026/02/25,35336
202602,2026/02/23,33839
202602W2,2026/02/11,33684
202602F1,2026/02/06,31676
202602W1,2026/02/04,32342
202601F5,2026/01/30,32253
202601W4,2026/01/28,32718
202601F4,2026/01/23,31930
202601,2026/01/21,31245
202601F3,2026/01/16,31421
202601W2,2026/01/14,30841
202601F2,2026/01/09,30320
202601W1,2026/01/07,30401
202601F1,2026/01/02,29337
202512W5,2025/12/31,28982
202512F4,2025/12/26,28547
202512W4,2025/12/24,28348
202512F3,2025/12/19,27741
202512,2025/12/17,27483
202512F2,2025/12/12,28143
202512W2,2025/12/10,28359
202512F1,2025/12/05,27892
202512W1,2025/12/03,27749
202511F4,2025/11/28,27789
202511W4,2025/11/26,27283
202511F3,2025/11/21,26503
202511,2025/11/19,26615
202511F2,2025/11/14,27455
202511W2,2025/11/12,28058
202511F1,2025/11/07,27683
202511W1,2025/11/05,27752
202510F5,2025/10/31,28444
202510W5,2025/10/29,28321
202510F4,2025/10/27,28104
202510W4,2025/10/22,27691
202510F3,2025/10/17,27383
202510,2025/10/15,27156
202510F2,2025/10/13,26874
202510W2,2025/10/08,27056
202510F1,2025/10/03,26698
202510W1,2025/10/01,26043
202509F4,2025/09/26,25572
202509W4,2025/09/24,26147
202509F3,2025/09/19,25695
202509,2025/09/17,25433
202509F2,2025/09/12,25405
202509W2,2025/09/10,25250
202509F1,2025/09/05,24434
202509W1,2025/09/03,24082
202508F5,2025/08/29,24347
202508W4,2025/08/27,24529
202508F4,2025/08/22,23854
202508,2025/08/20,23637
202508F3,2025/08/15,24342
202508W2,2025/08/13,24348
202508F2,2025/08/08,24013
202508W1,2025/08/06,23479
202508F1,2025/08/01,23456
202507W5,2025/07/30,23416
202507F4,2025/07/25,23356
202507W4,2025/07/23,23270
202507F3,2025/07/18,23323
202507,2025/07/16,23047
202507F2,2025/07/11,22744
202507W2,2025/07/09,22490
202507W1,2025/07/02,22491
202506W4,2025/06/25,22407
202506,2025/06/18,22307
202506W2,2025/06/11,22405
202506W1,2025/06/04,21580
202505W4,2025/05/28,21387
202505,2025/05/21,21848
202505W2,2025/05/14,21751
202505W1,2025/05/07,20466
